date,Bendigo and Adelaide Bank Limited (ASX:BEN) - Share Pricing,Bendigo and Adelaide Bank Limited (ASX:BEN) - Daily Target Price (CIQ)
Mar-27-2023,8.68,10.17
Mar-28-2023,8.77,10.03
Mar-29-2023,8.5,10.03
Mar-30-2023,8.7,9.93
Mar-31-2023,8.67,9.93
Apr-03-2023,8.72,9.93
Apr-04-2023,8.71,9.93
Apr-05-2023,8.63,9.93
Apr-06-2023,8.69,9.93
Apr-11-2023,8.79,9.93
Apr-12-2023,8.76,9.93
Apr-13-2023,8.79,9.93
Apr-14-2023,8.85,9.93
Apr-17-2023,8.84,9.88
Apr-18-2023,8.84,9.88
Apr-19-2023,8.81,9.88
Apr-20-2023,8.93,9.82
Apr-21-2023,8.73,9.82
Apr-24-2023,8.73,9.82
Apr-26-2023,8.69,9.82
Apr-27-2023,8.61,9.82
Apr-28-2023,8.64,9.82
May-01-2023,8.75,9.82
May-02-2023,8.62,9.82
May-03-2023,8.45,9.82
May-04-2023,8.4,9.82
May-05-2023,8.41,9.82
May-08-2023,8.62,9.82
May-09-2023,8.58,9.82
May-10-2023,8.59,9.82
May-11-2023,8.61,9.82
May-12-2023,8.77,9.82
May-15-2023,8.63,9.75
May-16-2023,8.59,9.75
May-17-2023,8.57,9.75
May-18-2023,8.62,9.75
May-19-2023,8.73,9.75
May-22-2023,8.6,9.75
May-23-2023,8.68,9.75
May-24-2023,8.73,9.75
May-25-2023,8.65,9.75
May-26-2023,8.66,9.75
May-29-2023,8.77,9.75
May-30-2023,8.77,9.75
May-31-2023,8.59,9.75
Jun-01-2023,8.57,9.75
Jun-02-2023,8.56,9.75
Jun-05-2023,8.62,9.75
Jun-06-2023,8.49,9.68
Jun-07-2023,8.38,9.6
Jun-08-2023,8.33,9.6
Jun-09-2023,8.35,9.6
Jun-13-2023,8.37,9.6
Jun-14-2023,8.42,9.6
Jun-15-2023,8.47,9.6
Jun-16-2023,8.53,9.6
Jun-19-2023,8.56,9.57
Jun-20-2023,8.66,9.57
Jun-21-2023,8.72,9.57
Jun-22-2023,8.59,9.57
Jun-23-2023,8.43,9.57
Jun-26-2023,8.34,9.57
Jun-27-2023,8.37,9.57
Jun-28-2023,8.55,9.57
Jun-29-2023,8.58,9.57
Jun-30-2023,8.59,9.52
Jul-03-2023,8.7,9.52
Jul-04-2023,8.84,9.52
Jul-05-2023,8.77,9.52
Jul-06-2023,8.65,9.52
Jul-07-2023,8.52,9.52
Jul-10-2023,8.52,9.52
Jul-11-2023,8.71,9.52
Jul-12-2023,8.78,9.52
Jul-13-2023,8.88,9.52
Jul-14-2023,8.96,9.47
Jul-17-2023,9.02,9.47
Jul-18-2023,9.09,9.47
Jul-19-2023,9.14,9.47
Jul-20-2023,9.14,9.47
Jul-21-2023,9.15,9.47
Jul-24-2023,9.17,9.35
